id,name,slug,short_description,description,price,sale_price,stock_quantity,main_image_url,display_order,status,category_id,category_slug,category_name,brand_id,brand_slug,brand_name,suggested_category,source_marketplace,source_url
,Giay chay bo nam NIKE Revolution 7 Wide FB8501,nike-revolution-7-wide-fb8501,"Nike men's running shoes; BLACK/WHITE colorway.","Collected from a Nike listing on Tiki. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",2119000,,20,,1,1,,,,,,Nike,Running Shoes,Tiki,https://tiki.vn/giay-chay-bo-nam-nike-nike-revolution-7-wide-p276529617.html
,Giay chay bo nam NIKE Quest 5 DD0204,nike-quest-5-dd0204,"Nike men's running shoes; BLACK/UNIVERSITY RED-SMOKE GREY.","Collected from a Nike listing on Tiki. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",2276800,,20,,2,1,,,,,,Nike,Running Shoes,Tiki,https://tiki.vn/giay-chay-bo-nam-nike-quest-5-p273572693.html
,adidas Running Duramo SL 2 Shoes Men Black IH8218,adidas-duramo-sl-2-men-black-ih8218,"adidas men's running shoes; black colorway.","Collected from adidas Official Store on Shopee Mall. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",1495000,,20,,3,1,,,,,,adidas,Running Shoes,Shopee,https://shopee.vn/adidasofficialstore
,adidas Lifestyle VL Court 3.0 Women Brown IH6516,adidas-vl-court-3-women-brown-ih6516,"adidas women's lifestyle shoes; brown colorway.","Collected from adidas Official Store on Shopee Mall. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",1495000,,20,,4,1,,,,,,adidas,Lifestyle Shoes,Shopee,https://shopee.vn/adidasofficialstore
,Giay New Balance 530 Mens Classic,new-balance-530-mens-classic,"New Balance men's classic 530 sneakers.","Collected from NewBalance Store on Shopee Mall. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",2789000,,20,,5,1,,,,,,New Balance,Sneakers,Shopee,https://shopee.vn/newbalance_vietnam
,Giay The Thao New Balance 574 Men's Grey,new-balance-574-mens-grey,"New Balance 574 men's sneakers; grey colorway.","Collected from NewBalance Store on Shopee Mall. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",2629000,,20,,6,1,,,,,,New Balance,Sneakers,Shopee,https://shopee.vn/newbalance_vietnam
,Giay Thoi Trang PUMA Nam Trinity Lite,puma-trinity-lite-men,"PUMA men's lifestyle shoes; Trinity Lite.","Collected from PUMA Official Store on Shopee Mall. Listed with a visible markdown on the store page. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",1500000,637500,20,,7,1,,,,,,Puma,Lifestyle Shoes,Shopee,https://shopee.vn/puma.cuahangchinhhang
,Giay Thoi Trang PUMA Unisex Rebound V6 Low Mau Trang,puma-rebound-v6-low-white,"PUMA unisex lifestyle shoes; white colorway.","Collected from PUMA Official Store on Shopee Mall. Listed with a visible markdown on the store page. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",1700000,1011500,20,,8,1,,,,,,Puma,Lifestyle Shoes,Shopee,https://shopee.vn/puma.cuahangchinhhang
,Giay The Thao Nam Skechers Outdoor D'Lites Hiker 237423-GYMT,skechers-dlites-hiker-237423-gymt,"Skechers men's outdoor sneakers; D'Lites Hiker.","Collected from Skechers Vietnam on Shopee Mall. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",1354000,,20,,9,1,,,,,,Skechers,Outdoor Shoes,Shopee,https://shopee.vn/skechers_official
,Giay The Thao Nu Skechers GOwalk 7 Ivy 125218-LTMV,skechers-gowalk-7-ivy-125218-ltmv,"Skechers women's walking shoes; GOwalk 7 Ivy.","Collected from Skechers Vietnam on Shopee Mall. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",1095000,,20,,10,1,,,,,,Skechers,Walking Shoes,Shopee,https://shopee.vn/skechers_official
,TOMMY HILFIGER Ao Polo Nam Tay Ngan Im 1985 Regular Polo MW0MW26881BDS,tommy-im-1985-regular-polo-mw0mw26881bds,"Tommy men's short-sleeve polo from the Tommy Hilfiger store.","Collected from TOMMY HILFIGER ACFC on Shopee Mall. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",2452769,,20,,11,1,,,,,,Tommy,Apparel,Shopee,https://shopee.vn/tommyhilfiger_acfc
,TOMMY HILFIGER Giay Nam Th Hi Vulc Core Low Lth Ii Ess FM0FM05511YBS,tommy-vulc-core-low-lth-ii-ess-fm0fm05511ybs,"Tommy men's low-top shoes from the Tommy Hilfiger store.","Collected from TOMMY HILFIGER ACFC on Shopee Mall. Stock quantity is a placeholder because public marketplace pages do not expose exact inventory.",3139819,,20,,12,1,,,,,,Tommy,Lifestyle Shoes,Shopee,https://shopee.vn/tommyhilfiger_acfc
